patient_id,slice_index,height,width
BraTS-MEN-RT-0002-1,0,140,177
BraTS-MEN-RT-0002-1,1,140,177
BraTS-MEN-RT-0002-1,2,140,177
BraTS-MEN-RT-0002-1,3,140,177
BraTS-MEN-RT-0002-1,4,140,177
BraTS-MEN-RT-0002-1,5,140,177
BraTS-MEN-RT-0002-1,6,140,177
BraTS-MEN-RT-0002-1,7,140,177
BraTS-MEN-RT-0002-1,8,140,177
BraTS-MEN-RT-0002-1,9,140,177
BraTS-MEN-RT-0002-1,10,140,177
BraTS-MEN-RT-0002-1,11,140,177
BraTS-MEN-RT-0002-1,12,140,177
BraTS-MEN-RT-0002-1,13,140,177
BraTS-MEN-RT-0002-1,14,140,177
BraTS-MEN-RT-0002-1,15,140,177
BraTS-MEN-RT-0002-1,16,140,177
BraTS-MEN-RT-0002-1,17,140,177
BraTS-MEN-RT-0002-1,18,140,177
BraTS-MEN-RT-0002-1,19,140,177
BraTS-MEN-RT-0002-1,20,140,177
BraTS-MEN-RT-0002-1,21,140,177
BraTS-MEN-RT-0002-1,22,140,177
BraTS-MEN-RT-0002-1,23,140,177
BraTS-MEN-RT-0002-1,24,140,177
BraTS-MEN-RT-0002-1,25,140,177
BraTS-MEN-RT-0002-1,26,140,177
BraTS-MEN-RT-0002-1,27,140,177
BraTS-MEN-RT-0002-1,28,140,177
BraTS-MEN-RT-0002-1,29,140,177
BraTS-MEN-RT-0002-1,30,140,177
BraTS-MEN-RT-0002-1,31,140,177
BraTS-MEN-RT-0002-1,32,140,177
BraTS-MEN-RT-0002-1,33,140,177
BraTS-MEN-RT-0002-1,34,140,177
BraTS-MEN-RT-0002-1,35,140,177
BraTS-MEN-RT-0002-1,36,140,177
BraTS-MEN-RT-0002-1,37,140,177
BraTS-MEN-RT-0002-1,38,140,177
BraTS-MEN-RT-0002-1,39,140,177
BraTS-MEN-RT-0002-1,40,140,177
BraTS-MEN-RT-0002-1,41,140,177
BraTS-MEN-RT-0002-1,42,140,177
BraTS-MEN-RT-0002-1,43,140,177
BraTS-MEN-RT-0002-1,44,140,177
BraTS-MEN-RT-0002-1,45,140,177
BraTS-MEN-RT-0002-1,46,140,177
BraTS-MEN-RT-0002-1,47,140,177
BraTS-MEN-RT-0002-1,48,140,177
BraTS-MEN-RT-0002-1,49,140,177
BraTS-MEN-RT-0002-1,50,140,177
BraTS-MEN-RT-0002-1,51,140,177
BraTS-MEN-RT-0002-1,52,140,177
BraTS-MEN-RT-0002-1,53,140,177
BraTS-MEN-RT-0002-1,54,140,177
BraTS-MEN-RT-0002-1,55,140,177
BraTS-MEN-RT-0002-1,56,140,177
BraTS-MEN-RT-0002-1,57,140,177
BraTS-MEN-RT-0002-1,58,140,177
BraTS-MEN-RT-0002-1,59,140,177
BraTS-MEN-RT-0002-1,60,140,177
BraTS-MEN-RT-0002-1,61,140,177
BraTS-MEN-RT-0002-1,62,140,177
BraTS-MEN-RT-0002-1,63,140,177
BraTS-MEN-RT-0002-1,64,140,177
BraTS-MEN-RT-0002-1,65,140,177
BraTS-MEN-RT-0002-1,66,140,177
BraTS-MEN-RT-0002-1,67,140,177
